id;photo;image;name;installation
1;Tasty;online Moldovan;Research Regional;VERTICAL
2;deliver Loan;revolutionize;generate;VERTICAL
3;user-facing world-class Corporate;Account Maryland Quality;Wooden Plastic;VERTICAL
4;Plastic;Ridges;compress Granite;VERTICAL
5;Clothing;synthesize high-level;Global Forward lavender;HORIZONTAL
6;Borders alarm;expedite capacitor system;demand-driven;HORIZONTAL
7;Portugal transmit;revolutionary;Outdoors;HORIZONTAL
8;web-enabled;database holistic e-enable;B2B Luxembourg Berkshire;HORIZONTAL
9;Progressive District;Refined radical B2B;payment index Dynamic;VERTICAL
10;alarm Borders array;green alliance withdrawal;object-oriented Quality bypass;VERTICAL
